CareerUrl,Title,CollegeName,Contact,Country,CollegeUrl
https://web.ucenm.net/derecho-procesal-civil/,Derecho Procesal Civil              ,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: jgalvez@ucenm.net
dtabora@ucenm.net",Honduras,https://web.ucenm.net/
https://web.ucenm.net/psicologia-clinica/,Psicología Clínica,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: jgalvez@ucenm.net i.donaire@ucenm.net
",Honduras,https://web.ucenm.net/
https://web.ucenm.net/gerencia-empresarial/,Gerencia Empresarial,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: jgalvez@ucenm.net
",Honduras,https://web.ucenm.net/
https://web.ucenm.net/derecho-procesal-penal/,Derecho Procesal Penal,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: jgalvez@ucenm.net dtabora@ucenm.net

",Honduras,https://web.ucenm.net/
https://web.ucenm.net/salud-ocupacional/,Salud Ocupacional             ,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: jgalvez@ucenm.net
belinda.alberty@ucenm.net",Honduras,https://web.ucenm.net/
https://web.ucenm.net/gestion-de-empresas-agropecuarias/,Gestión De Empresas Agropecuarias,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: jgalvez@ucenm.net 
",Honduras,https://web.ucenm.net/
https://web.ucenm.net/maestria-en-administracion-y-desarrollo-empresarial/,Administración Y Desarrollo Empresarial,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: jgalvez@ucenm.net
",Honduras,https://web.ucenm.net/
https://web.ucenm.net/administracion-maritima-portuaria/,Administración Marítima Portuaria,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: jgalvez@ucenm.net 
",Honduras,https://web.ucenm.net/
https://web.ucenm.net/administracion-y-desarrollo-empresarial/,Administración Y Desarrollo Empresarial,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: 
r.rivera@ucenm.net",Honduras,https://web.ucenm.net/
https://web.ucenm.net/ingenieria-en-sistemas/,Ingeniería En Sistemas ,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos:
selvin.lopez@ucenm.net
",Honduras,https://web.ucenm.net/
https://web.ucenm.net/carrera-salud-comunitaria/,"
                    Salud Comunitaria                ",Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: belinda.alberty@ucenm.net
",Honduras,https://web.ucenm.net/
https://web.ucenm.net/gestion-portuaria-y-transporte-maritimo/,Gestión Portuaria Y Tranporte Marítimo,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: aunner.valle@ucenm.net


",Honduras,https://web.ucenm.net/
https://web.ucenm.net/mercadotecnia/,Mercadotecnia,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: r.rivera@ucenm.net

",Honduras,https://web.ucenm.net/
https://web.ucenm.net/carrera-derecho,Derecho,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: dtabora@ucenm.net

",Honduras,https://web.ucenm.net/
https://web.ucenm.net/nutricion/,Nutrición,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: a.romero@ucenm.net

",Honduras,https://web.ucenm.net/
https://web.ucenm.net/teologia/,Teología,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: cmolina@ucenm.net

",Honduras,https://web.ucenm.net/
https://web.ucenm.net/carrera-psicologia/,Psicología,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: i.donaire@ucenm.net

",Honduras,https://web.ucenm.net/
https://web.ucenm.net/carrera-laboratorio-clinico,Laboratorio Clínico,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: 
m.godoy@ucenm.net
",Honduras,https://web.ucenm.net/
https://web.ucenm.net/logistica-y-operaciones-portuarias/,Logística Y Operaciones Portuarias,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: aunner.valle@ucenm.net
",Honduras,https://web.ucenm.net/
https://web.ucenm.net/produccion-avicola/,Producción Avícola,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos:
yavila@ucenm.net
",Honduras,https://web.ucenm.net/
https://web.ucenm.net/produccion-en-television/,Producción En Television,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: mc.reyes@ucenm.net


",Honduras,https://web.ucenm.net/
https://web.ucenm.net/educacion-continua/,Ingles,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: 
jgalvez@ucenm.net
",Honduras,https://web.ucenm.net/
https://web.ucenm.net/educacion-continua/,Seguridad Y Salud Ocupacional,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: jgalvez@ucenm.net

",Honduras,https://web.ucenm.net/
https://web.ucenm.net/educacion-continua/,Formación Docente,Universidad Cristiana Evanǵelica Nuevo Milenio,"Contactos: jgalvez@ucenm.net

",Honduras,https://web.ucenm.net/
https://www.unah.edu.hn/oferta-academica,Licenciatura En Derecho,Universidad Autónoma de Honduras,https://www.unah.edu.hn/oferta-academica,Honduras,https://www.unah.edu.hn/
